name,canonical_smiles,mechanism,warhead_class,potency,promiscuity_flag,pdb,citation
Sulfopin,CC(C)(C)CN(C1CCS(=O)(=O)C1)C(=O)CCl,covalent_cys113,chloroacetamide,nanomolar (covalent),n,6VAJ,"Dubiella 2021, Nat Chem Biol, 10.1038/s41589-021-00786-7"
KPT-6566,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)N=C2C=C(C(=O)C3=CC=CC=C32)SCC(=O)O,covalent_cys113,aryl-sulfonyl-acetate (self-immolative -> 1;4-naphthoquinone),IC50 ~0.3-1.4 uM,y,,"Campaner 2017, Nat Commun, 10.1038/ncomms15772"
Juglone,C1=CC2=C(C(=O)C=CC2=O)C(=C1)O,covalent_cys113,1;4-naphthoquinone (Michael acceptor),kinact 5.3e-4-4.5e-3 s^-1,y,,"Hennig 1998, Biochemistry, 10.1021/bi973162p"
BJP-06-005-3,CCOC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCCN1C(=O)[C@H](Cc1ccccc1)N(C)C(=O)CCl,covalent_cys113,chloroacetamide (N-methyl peptidomimetic),potent/selective,n,,"Pinch 2020, Nat Chem Biol, 10.1038/s41589-020-0550-9"
Byun-BDHI-fragment,UNVERIFIED,covalent_cys113,3-bromo-4;5-dihydroisoxazole (BDHI),fragment-level,n,,"Byun 2023, JACS, 10.1021/jacs.3c00598"
ATRA,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,non_covalent,,low-uM (binds + degrades Pin1),y,,"Wei 2015, Nat Med, 10.1038/nm.3839"
EGCG,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,non_covalent,,direct binding; PPIase inhibition,y,,"Urusova 2011, Cancer Prev Res, 10.1158/1940-6207.CAPR-11-0301"
PiB,CCOC(=O)CN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(CC(=O)OCC)C3=O,non_covalent,,low-uM PPIase inhibition,y,,"Uchida 2003, Chem Biol (ChEMBL2409076)"
Wildemann-macrocyclic-peptide,CC(=O)N[C@@H](CCCCNC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1csc2ccccc12)C(=O)N[C@@H](C(=O)N1CCCC[C@H]1C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](CCC(N)=O)C(N)=O)[C@@H](C)OP(=O)(O)O,non_covalent,phosphonate (pSer/Thr-Pro mimetic) on a disulfide-bridged bicyclic peptide macrocycle,Ki 1.2 nM,n,,"Wildemann 2006, J Med Chem, 10.1021/jm060036n; ChEMBL CHEMBL219531 (target CHEMBL2288, human Pin1)"
Guo-Pfizer-benzothiophene-phosphonate,O=C(N[C@@H](COP(=O)(O)O)Cc1cccc(F)c1)c1cc2ccccc2s1,non_covalent,phosphonooxymethyl-fluorophenylalanine benzothiophene-2-carboxamide,"Ki 6 nM (reproduced 6-50 nM across 5 independent papers, 2009-2021)",n,,"Guo 2009, Bioorg Med Chem Lett, 10.1016/j.bmcl.2009.08.034; ChEMBL CHEMBL585917 (target CHEMBL2288); independently re-tested in Moore 2013 (10.1016/j.bmcl.2013.05.088), Zhao 2018 (Bioorg Med Chem, doc CHEMBL4219172), Xu 2016 (Bioorg Med Chem, doc CHEMBL4715774), Du 2021 (10.1016/j.bmc.2020.115878)"
Potter-Astex-indole-furancarboxamide,COC(=O)[C@@H](Cc1nc2ccccc2[nH]1)NC(=O)c1cc(-c2ccc(CN)cc2)oc1C,non_covalent,phosphate-free indol-2-ylalanine + aminomethylphenyl-furancarboxamide (fragment-derived),IC50 25 nM,n,,"Potter 2010, Bioorg Med Chem Lett, 10.1016/j.bmcl.2009.11.090; ChEMBL CHEMBL595291 (target CHEMBL2288)"
Liu-Pei-cyclic-peptide,C[C@@H]1NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]2CCCCN2C(=O)[C@@H]([C@@H](C)OP(=O)(O)O)NC(=O)CN(C)C1=O,non_covalent,phosphonate-bearing head-to-tail cyclic hexapeptide (membrane-permeable),IC50 31 nM; Kd 47 nM,n,,"Liu 2010, J Med Chem, 10.1021/jm901778v; ChEMBL CHEMBL1089622 (target CHEMBL2288)"
